728,LANSOPRAZOLE,A02BC03,Thuốc ức chế bơm proton (PPI).,"Viên nang 15 mg, 30 mg.","Prevacid, Lanso",Quá mẫn; Đang dùng Nelfinavir.,"Clopidogrel (giảm tác dụng chống kết tập); Warfarin, Diazepam, Phenytoin (tăng nồng độ); Atazanavir."
729,LETROZOLE,L02BG04,Thuốc kháng Estrogen (Ức chế Aromatase).,Viên nén 2.5 mg.,Femara,"Có thai, cho con bú; Tiền mãn kinh.","Tamoxifen, Estrogen."
730,LEVOFLOXACIN,J01MA07,Kháng sinh nhóm Fluoroquinolone.,"Viên nén 250 mg, 500 mg, 750 mg; Thuốc tiêm 5 mg/ml.","Levaquin, Levo",Quá mẫn với Quinolone; Tiền sử đứt gân; Trẻ em dưới 18 tuổi.,"Thuốc kéo dài khoảng QT (Amiodarone, Erythromycin); Thuốc kháng acid, Sắt, Kẽm (giảm hấp thu)."
731,LEVOTHYROXINE,H03AA01,Hormone tuyến giáp.,"Viên nén 25 mcg, 50 mcg, 100 mcg.","Synthroid, L-Thyroxine",Cơn bão giáp; Suy tuyến thượng thận chưa điều trị; Nhồi máu cơ tim cấp.,"Warfarin (tăng tác dụng chống đông); Thuốc kháng acid, Sắt, Calci (giảm hấp thu - nên dùng cách xa)."
732,LIDOCAINE (LIGNOCAINE),N01BB02,"Thuốc gây tê cục bộ, Chống loạn nhịp.","Thuốc tiêm 1%, 2%; Gel bôi.","Xylocaine, Lido",Hội chứng Adams-Stokes; Block tim độ 2/3 (trừ khi có máy tạo nhịp); Quá mẫn với Lidocaine.,"Thuốc chẹn beta, Cimetidine (tăng nồng độ); Thuốc chống loạn nhịp khác."
733,LINCOMYCIN,J01FF02,Kháng sinh nhóm Lincosamide.,"Viên nang 250 mg, 500 mg; Thuốc tiêm 300 mg/ml.",Lincocin,Quá mẫn; Tiêu chảy liên quan Clostridium difficile.,Thuốc giãn cơ (tăng tác dụng); Kaolin/Pectin (giảm hấp thu).
734,LINEZOLID,J01XX08,Kháng sinh nhóm Oxazolidinone.,Viên nén 600 mg; Thuốc tiêm 2 mg/ml.,"Zyvox, Line",Đang dùng thuốc ức chế MAO (hoặc trong vòng 2 tuần); Quá mẫn.,"Thuốc ức chế MAO (SSRI, TCA - nguy cơ hội chứng Serotonin); Thuốc cường giao cảm."
735,LITHIUM,N05AN01,Thuốc ổn định tâm trạng.,Viên nén 300 mg (Carbonate/Citrate).,"Lithobid, Eskalith",Suy thận nặng; Bệnh tim mạch nặng; Mất nước nặng.,"Thuốc lợi tiểu Thiazide, NSAIDs, ACEI (tăng nồng độ Lithium, tăng độc tính); Carbamazepine, Phenytoin."
736,LOMUSTINE,L01AD02,Thuốc chống ung thư (Nitrosourea).,"Viên nang 10 mg, 40 mg, 100 mg.",CeeNU,Suy tủy nặng; Quá mẫn.,Không có tương tác thuốc đáng kể.
737,LOPERAMIDE,A07DA03,Thuốc chống tiêu chảy (Opioid).,Viên nang 2 mg.,"Imodium, Lope","Viêm loét đại tràng cấp; Tiêu chảy do nhiễm khuẩn (E. coli, Salmonella); Trẻ em dưới 6 tuổi.","Thuốc ức chế CYP3A4, CYP2C8 (Quinidine, Ritonavir); Rượu."
738,LORAZEPAM,N05BA06,"Thuốc giải lo âu, Benzodiazepine.","Viên nén 0.5 mg, 1 mg, 2 mg; Thuốc tiêm 2 mg/ml.","Ativan, Loraz",Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng; Suy gan nặng.,"Rượu, Thuốc ức chế TKTW (tăng ức chế hô hấp); Probenecid (tăng nồng độ)."
739,LOSARTAN,C09CA01,Thuốc chẹn thụ thể Angiotensin II (ARB).,"Viên nén 25 mg, 50 mg, 100 mg.","Cozaar, Losar",Có thai (3 tháng giữa và cuối); Hẹp động mạch thận hai bên; Quá mẫn.,"Thuốc lợi tiểu giữ Kali, Kali bổ sung (tăng nguy cơ tăng Kali máu); NSAIDs (giảm tác dụng, tăng độc tính thận)."
740,LOVASTATIN,C10AA02,Thuốc ức chế HMG-CoA reductase (Statin).,"Viên nén 10 mg, 20 mg, 40 mg.","Mevacor, Lova","Bệnh gan hoạt động; Tăng transaminase không rõ nguyên nhân; Có thai, cho con bú.","Thuốc ức chế CYP3A4 mạnh (Azole, Macrolide, Nước ép bưởi, Cyclosporine, Gemfibrozil - tăng nguy cơ tiêu cơ vân)."
741,MAPROTILINE,N06AA21,Thuốc chống trầm cảm (Tetracyclic).,"Viên nén 25 mg, 50 mg, 75 mg.",Ludiomil,Đang dùng Thuốc ức chế MAO; Giai đoạn phục hồi sau nhồi máu cơ tim.,"Thuốc ức chế MAO; Rượu, Thuốc ức chế TKTW; Thuốc kháng Cholinergic."
742,MEBENDAZOLE,P02CA01,Thuốc trị giun.,"Viên nén 100 mg, 500 mg.","Vermox, Mebend",Quá mẫn.,"Cimetidine (tăng nồng độ Mebendazole); Phenytoin, Carbamazepine (giảm nồng độ Mebendazole)."
743,MEDROXYPROGESTERONE,G03AC06,Hormone Progestin.,"Viên nén 2.5 mg, 5 mg, 10 mg; Thuốc tiêm (Dạng depot).","Provera, Depo-Provera","Có thai; Chảy máu âm đạo không rõ nguyên nhân; Ung thư vú, tuyến sinh dục.","Rifampicin, Carbamazepine, Phenytoin (giảm nồng độ)."
744,MEFLOQUINE,P01BC02,Thuốc chống sốt rét.,Viên nén 250 mg.,Lariam,"Tiền sử trầm cảm, rối loạn tâm thần, co giật; Rối loạn dẫn truyền tim.","Quinidine, Chloroquine (tăng nguy cơ loạn nhịp tim); Thuốc chống động kinh (giảm nồng độ)."
745,MELOXICAM,M01AC06,Thuốc chống viêm không steroid (NSAID).,"Viên nén 7.5 mg, 15 mg.","Mobic, Meloxi",Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; 3 tháng cuối thai kỳ; Polyp mũi/phù mạch do Aspirin.,"Warfarin (tăng nguy cơ chảy máu); Methotrexate, Lithium, Thuốc lợi tiểu, ACEI/ARB."
746,MEMANTINE,N06DX01,Thuốc điều trị Alzheimer (Đối kháng NMDA).,"Viên nén 5 mg, 10 mg.","Ebixa, Meman",Quá mẫn.,"Amantadine, Ketamine, Dextromethorphan (tăng nguy cơ độc tính TKTW); Thuốc kiềm hóa nước tiểu."
747,MEPERIDINE (PETHIDINE),N02AA02,Thuốc giảm đau Opioid.,"Thuốc tiêm 50 mg/ml, 100 mg/ml.","Demerol, Dolantin",Đang dùng Thuốc ức chế MAO (nguy cơ hội chứng Serotonin nghiêm trọng); Suy hô hấp cấp.,"Thuốc ức chế MAO; Rượu, Benzodiazepine (tăng ức chế hô hấp); SSRI."
748,MEROPENEM,J01DH02,Kháng sinh nhóm Carbapenem.,"Bột pha tiêm 500 mg, 1 g.","Meronem, Mero",Quá mẫn với Carbapenem; Tiền sử sốc phản vệ với Beta-Lactam.,"Valproic Acid (giảm nồng độ Valproic Acid, mất kiểm soát co giật); Probenecid."
749,MESALAMINE (5-ASA),A07EC02,Thuốc chống viêm (Điều trị IBD).,"Viên nén 400 mg, 800 mg (Phóng thích kéo dài).","Asacol, Pentasa","Quá mẫn với Salicylate, Sulfite.","Warfarin (tăng tác dụng chống đông); Azathioprine, Mercaptopurine (tăng độc tính tủy)."
750,METFORMIN,A10BA02,Thuốc chống đái tháo đường (Biguanide).,"Viên nén 500 mg, 850 mg, 1000 mg.","Glucophage, Metf",Nhiễm toan ceton; Suy thận nặng (eGFR < 30); Suy tim sung huyết không ổn định; Tiền sử nhiễm toan Lactic.,Thuốc cản quang Iod (nguy cơ nhiễm toan Lactic - cần ngừng thuốc); Cimetidine; Rượu.
751,METRONIDAZOLE,J01XD01,"Kháng sinh, Thuốc trị ký sinh trùng.","Viên nén 250 mg, 500 mg; Thuốc tiêm 5 mg/ml.","Flagyl, Metro",3 tháng đầu thai kỳ; Rối loạn thần kinh; Rối loạn tạo máu.,"Rượu (phản ứng giống Disulfiram); Warfarin (tăng tác dụng chống đông); Phenytoin, Phenobarbital."
752,METHADONE,N07BC02,"Opioid (Điều trị đau, Cai nghiện)","Viên nén 5 mg, 10 mg; Dung dịch uống.","Dolophine, Metha",Suy hô hấp cấp; Hen phế quản nặng; Đang dùng thuốc ức chế MAO.,"Thuốc ức chế MAO; Rifampicin, Phenytoin (giảm nồng độ Methadone); SSRI, TCA (nguy cơ hội chứng Serotonin)."
753,METHAZOLAMIDE,S01EC07,Thuốc ức chế Carbonic Anhydrase.,Viên nén 50 mg.,Neptazane,"Suy thận, suy gan nặng; Nhiễm toan tăng Clo máu; Tăng Kali máu.",Thuốc lợi tiểu quai (tăng nguy cơ hạ Kali máu); Aspirin liều cao (tăng độc tính).
754,METHYLDOPA,C02AB01,Thuốc hạ huyết áp (Tác dụng lên TKTW).,"Viên nén 250 mg, 500 mg.","Aldomet, Methy",Bệnh gan hoạt động; Đang dùng thuốc ức chế MAO; U tủy thượng thận.,"Thuốc ức chế MAO (nguy cơ tăng huyết áp); Thuốc lợi tiểu, Thuốc giãn mạch."
755,METHYLPHENIDATE,N06BA04,Thuốc kích thích TKTW (Điều trị ADHD).,"Viên nén 5 mg, 10 mg (Phóng thích tức thì/kéo dài).","Ritalin, Concerta","Tăng nhãn áp; Lo âu, căng thẳng nặng; Đang dùng thuốc ức chế MAO.",Thuốc ức chế MAO (nguy cơ cơn tăng huyết áp); Thuốc chống đông máu (tăng tác dụng); Thuốc hạ huyết áp.
756,METOCLOPRAMIDE,A03FA01,"Thuốc chống nôn, Tăng vận động dạ dày.",Viên nén 10 mg; Thuốc tiêm 5 mg/ml.,"Reglan, Meto","Xuất huyết, tắc nghẽn, thủng đường tiêu hóa; U tủy thượng thận; Động kinh, Parkinson.",Thuốc kháng Cholinergic; Thuốc ức chế TKTW (tăng an thần); Cimetidine (giảm hấp thu).
757,METOLAZONE,C03BA08,Thuốc lợi tiểu Thiazide.,"Viên nén 2.5 mg, 5 mg, 10 mg.",Zaroxolyn,Vô niệu; Hôn mê gan; Quá mẫn với Sulfonamide.,Lithum (giảm thải trừ); Digoxin (tăng độc tính do hạ Kali máu); NSAIDs (giảm tác dụng); Furosemide (lợi tiểu mạnh).
758,METOPROLOL,C07AB02,Thuốc chẹn beta chọn lọc beta-1.,"Viên nén 50 mg, 100 mg (Phóng thích tức thì/kéo dài).","Lopressor, Toprol","Nhịp chậm xoang, Block tim độ 2/3; Sốc tim; Suy tim sung huyết không kiểm soát.","Verapamil, Diltiazem (nguy cơ nhịp chậm nặng); Thuốc hạ đường huyết (che lấp triệu chứng)."
759,MIDAZOLAM,N05CD08,"Thuốc an thần, Benzodiazepine (Tiền mê, Gây mê).","Thuốc tiêm 1 mg/ml, 5 mg/ml.","Versed, Midaz",Sốc; Hôn mê do rượu cấp; Quá mẫn.,"Rượu, Thuốc ức chế TKTW (tăng ức chế hô hấp); Thuốc ức chế CYP3A4 mạnh (Azole, Macrolide - tăng nồng độ)."
760,MINOXIDIL,C02DC01,Thuốc giãn mạch (Hạ huyết áp); Kích thích mọc tóc.,"Viên nén 2.5 mg, 10 mg; Dung dịch bôi 2%, 5%.","Loniten, Rogaine",U tủy thượng thận (Dạng uống); Nhồi máu cơ tim cấp.,Thuốc hạ huyết áp khác (tăng nguy cơ hạ huyết áp quá mức); Guanethidine.
761,MISONIDAZOLE,J01XD01,Kháng sinh (Tăng cường tác dụng xạ trị),Viên nén 100 mg; Thuốc tiêm.,Misonidazole,Rối loạn thần kinh ngoại biên; Rối loạn máu.,Rượu (phản ứng giống Disulfiram).
762,MITOMYCIN,L01DC03,Thuốc chống ung thư (Alkylating agent).,"Bột pha tiêm 5 mg, 20 mg, 40 mg.",Mutamycin,Suy tủy nặng; Bệnh phổi nặng.,Vinca alkaloid (tăng độc tính phổi).
763,MOCLOBEMIDE,N06AG02,Thuốc chống trầm cảm (Ức chế MAO-A chọn lọc),"Viên nén 150 mg, 300 mg.",Aurorix,"Hôn mê, trạng thái kích động cấp; Đang dùng Selegiline, Pethidine.",Thuốc cường giao cảm (nguy cơ cơn tăng huyết áp); Thuốc ức chế Tái hấp thu Serotonin (nguy cơ hội chứng Serotonin).
764,MONTELUKAST,R03DC03,Thuốc đối kháng thụ thể Leukotriene (Điều trị hen/dị ứng),"Viên nén 5 mg, 10 mg; Gói cốm 4 mg.","Singulair, Montair",Quá mẫn; Điều trị cơn hen cấp tính.,"Phenobarbital, Rifampicin (giảm nồng độ Montelukast)."
765,MORPHINE,N02AA01,Thuốc giảm đau Opioid.,"Viên nén 10 mg, 30 mg (Phóng thích kéo dài); Thuốc tiêm 2 mg/ml, 10 mg/ml.","MS Contin, Morph",Suy hô hấp cấp; Hen phế quản nặng; Tắc ruột liệt.,"Rượu, Benzodiazepine (tăng ức chế hô hấp); Thuốc ức chế MAO (nguy cơ tăng thân nhiệt, co giật)."
766,MOXIFLOXACIN,J01MA14,Kháng sinh nhóm Fluoroquinolone.,Viên nén 400 mg; Thuốc tiêm 400 mg.,"Avelox, Moxi",Quá mẫn với Quinolone; Kéo dài khoảng QT.,"Thuốc kéo dài khoảng QT (Amiodarone, Erythromycin); Thuốc kháng acid, Sắt, Kẽm (giảm hấp thu dạng uống)."
767,NABUMETONE,M01AX01,Thuốc chống viêm không steroid (NSAID).,"Viên nén 500 mg, 750 mg.",Relafen,Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; 3 tháng cuối thai kỳ.,"Warfarin (tăng nguy cơ chảy máu); Methotrexate, Lithium, Thuốc lợi tiểu, ACEI/ARB."
768,NALOXONE,V03AB15,Thuốc đối kháng Opioid.,Thuốc tiêm 0.4 mg/ml.,Narcan,Quá mẫn.,"Opioid (đối kháng tác dụng, gây hội chứng cai Opioid cấp)."
769,NAPROXEN,M01AE02,Thuốc chống viêm không steroid (NSAID).,"Viên nén 250 mg, 500 mg.","Naprosyn, Aleve",Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; 3 tháng cuối thai kỳ.,"Warfarin (tăng nguy cơ chảy máu); Methotrexate, Lithium, Thuốc lợi tiểu, ACEI/ARB; Probenecid."
770,NEBIVOLOL,C07AB12,Thuốc chẹn beta chọn lọc beta-1 (có giãn mạch),Viên nén 5 mg.,"Bystolic, Nebi","Nhịp chậm xoang, Block tim độ 2/3; Sốc tim; Suy tim sung huyết không kiểm soát.","Verapamil, Diltiazem (nguy cơ nhịp chậm nặng); Thuốc hạ đường huyết (che lấp triệu chứng)."
771,NEOMYCIN,J01GB04,"Kháng sinh nhóm Aminoglycosid (Uống, Bôi).",Viên nén 500 mg; Thuốc mỡ bôi.,Neo-Tab,Tắc ruột; Loét dạ dày tiến triển; Quá mẫn.,Digoxin (giảm hấp thu Digoxin); Thuốc độc thận khác (dạng uống hấp thu tối thiểu).
772,NEVIRAPINE,J05AG01,Thuốc kháng virus (NNRTI).,Viên nén 200 mg; Hỗn dịch uống 10 mg/ml.,"Viramune, Nevi",Suy gan nặng; Phát ban nặng đe dọa tính mạng (Hội chứng Stevens-Johnson); Đang dùng St John's Wort.,"Rifampicin, St John's Wort (giảm nồng độ Nevirapine); Thuốc tránh thai (giảm hiệu quả)."
773,NICOTINE,N07BA01,Hỗ trợ cai thuốc lá.,"Miếng dán, Kẹo cao su, Xịt mũi.","Nicorette, Nicoderm",Nhồi máu cơ tim cấp; Loạn nhịp tim nặng.,Nicotine là chất nền (ảnh hưởng gián tiếp đến chuyển hóa các thuốc khác).
774,NIFEDIPINE,C08CA05,Thuốc chẹn kênh canxi (Dihydropyridine).,Viên nén 10 mg (Phóng thích tức thì/kéo dài).,"Adalat, Nife",Sốc tim; Nhồi máu cơ tim cấp (dạng phóng thích tức thì); Hẹp động mạch chủ nghiêm trọng.,"Thuốc ức chế CYP3A4 (Azole, Macrolide, nước ép bưởi); Thuốc cảm ứng CYP3A4 (Phenytoin, Rifampicin)."
775,NITROFURANTOIN,J01XE01,Kháng sinh (Điều trị UTI).,"Viên nang 50 mg, 100 mg.","Macrodantin, Macrobid",Suy thận nặng; Thiếu G6PD; Trẻ sơ sinh dưới 1 tháng tuổi.,Thuốc kháng acid chứa Magie Trisilicate (giảm hấp thu); Probenecid (giảm thải trừ).
776,NOREPINEPHRINE (NORADRENALINE),C01CA03,Thuốc cường giao cảm; Tăng huyết áp.,Thuốc tiêm 1 mg/ml.,"Levophed, Noradren",Huyết khối mạch vành/mạch mạc treo ruột; Hạ huyết áp do giảm thể tích (trừ khi đã bù dịch).,"Thuốc ức chế MAO, Thuốc chống trầm cảm ba vòng (tăng tác dụng, nguy cơ tăng huyết áp nghiêm trọng); Thuốc mê dạng hít."
777,NORFLOXACIN,J01MA06,Kháng sinh nhóm Fluoroquinolone.,Viên nén 400 mg.,"Noroxin, Norflox",Quá mẫn với Quinolone; Tiền sử đứt gân; Trẻ em dưới 18 tuổi.,"Thuốc kháng acid, Sắt, Calci (giảm hấp thu); Warfarin, Theophylline."
778,NORTRIPTYLINE,N06AA10,Thuốc chống trầm cảm ba vòng.,"Viên nang 10 mg, 25 mg, 50 mg.","Pamelor, Nortrilen",Đang dùng Thuốc ức chế MAO; Giai đoạn phục hồi sau nhồi máu cơ tim.,"Thuốc ức chế MAO; Rượu, Thuốc ức chế TKTW; Thuốc kháng Cholinergic."
779,NYSTATIN,A07AA02,"Thuốc chống nấm (Uống, Tại chỗ).",Hỗn dịch uống 100.000 IU/ml; Viên đặt âm đạo; Kem bôi.,"Mycostatin, Nystat",Quá mẫn.,Không có tương tác thuốc đáng kể (do hấp thu kém).
780,OLANZAPINE,N05AH03,Thuốc chống loạn thần không điển hình.,"Viên nén 5 mg, 10 mg; Thuốc tiêm 10 mg.","Zyprexa, Olan",Quá mẫn; Glôcôm góc đóng.,"Rượu, Benzodiazepine (tăng ức chế TKTW, hạ huyết áp); Carbamazepine (giảm nồng độ Olanzapine)."
781,OMEPRAZOLE,A02BC01,Thuốc ức chế bơm proton (PPI).,"Viên nang 10 mg, 20 mg.","Losec, Omep",Quá mẫn; Đang dùng Nelfinavir.,"Clopidogrel (giảm tác dụng chống kết tập); Warfarin, Diazepam, Phenytoin (tăng nồng độ); Atazanavir."
782,ONDANSETRON,A04AA01,Thuốc chống nôn (Đối kháng 5-HT3).,"Viên nén 4 mg, 8 mg; Thuốc tiêm 2 mg/ml.","Zofran, Onda",Quá mẫn; Dùng đồng thời với Apomorphine.,"Thuốc kéo dài khoảng QT (Amiodarone, Erythromycin); Tramadol."
783,OXACILLIN,J01CF04,Kháng sinh Penicillin kháng Penicillinase.,"Bột pha tiêm 500 mg, 1 g.",Prostaphlin,"Quá mẫn với Penicillin, Cephalosporin.",Probenecid (tăng nồng độ); Thuốc tránh thai đường uống (giảm hiệu quả).
784,OXANDROLONE,A14AA08,Hormone Steroid đồng hóa.,"Viên nén 2.5 mg, 10 mg.",Oxandrin,Ung thư tuyến tiền liệt/vú (nam); Suy gan nặng; Có thai.,Warfarin (tăng tác dụng chống đông); Thuốc chống đái tháo đường (tăng nguy cơ hạ đường huyết).
785,OXAZEPAM,N05BA04,"Thuốc giải lo âu, Benzodiazepine.","Viên nén 10 mg, 15 mg, 30 mg.","Serax, Oxaz",Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng; Suy gan nặng.,"Rượu, Thuốc ức chế TKTW (tăng ức chế hô hấp)."
786,OXYTOCIN,H01BB02,Hormone tuyến yên sau; Gây co bóp tử cung.,Thuốc tiêm 10 IU/ml.,"Syntocinon, Oxy",Bất xứng đầu chậu; Dọa vỡ tử cung; Suy thai; Nhau tiền đạo.,"Thuốc cường giao cảm (tăng nguy cơ tăng huyết áp, nhịp tim nhanh); Thuốc gây mê dạng hít."
787,PACLITAXEL,L01CD01,Thuốc chống ung thư (Taxane).,Thuốc tiêm 6 mg/ml.,"Taxol, Pacli",Giảm bạch cầu trung tính nặng; Có thai.,"Cisplatin (nguy cơ độc tủy); Thuốc ức chế CYP2C8/CYP3A4 (Azole, Macrolide)."
788,PANCRELIPASE,A09AA02,Enzyme tiêu hóa.,"Viên nang, Viên nén (Nhiều hàm lượng).","Creon, Pancrease",Quá mẫn với protein lợn; Viêm tụy cấp.,Thuốc kháng acid (giảm hiệu quả); Các chế phẩm sắt.
789,PANCURONIUM,M03AC02,Thuốc giãn cơ không khử cực.,"Thuốc tiêm 1 mg/ml, 2 mg/ml.",Pavulon,Quá mẫn.,"Aminoglycosid, Clindamycin (tăng tác dụng giãn cơ); Thuốc mê dạng hít."
790,PAROXETINE,N06AB05,Thuốc chống trầm cảm (SSRI).,"Viên nén 10 mg, 20 mg, 30 mg.","Paxil, Parox","Đang dùng Thuốc ức chế MAO (nguy cơ hội chứng Serotonin); Đang dùng Pimozide, Thioridazine.","Thuốc ức chế MAO, Tryptophan, Tramadol (nguy cơ hội chứng Serotonin); Warfarin, NSAIDs (tăng nguy cơ chảy máu); Thuốc ức chế CYP2D6."
791,PENICILLAMINE,M01CC01,Thuốc điều trị Wilson; Viêm khớp dạng thấp.,"Viên nén 125 mg, 250 mg.",Cuprimine,Có thai; Suy thận nặng; Bệnh lý máu.,"Muối sắt, Kẽm, Kháng acid (giảm hấp thu); Thuốc độc tủy (vàng, chống sốt rét)."
792,PENICILLIN G (BENZYLPENICILLIN),J01CE01,Kháng sinh nhóm Penicillin.,Bột pha tiêm 5 triệu IU.,Pen G,"Quá mẫn với Penicillin, Cephalosporin.",Probenecid (tăng nồng độ); Tetracycline (đối kháng tác dụng).
793,PENICILLIN V (PHENOXYMETHYLPENICILLIN),J01CE02,Kháng sinh nhóm Penicillin.,"Viên nén 250 mg, 500 mg.",Pen V,"Quá mẫn với Penicillin, Cephalosporin.",Probenecid (tăng nồng độ); Tetracycline (đối kháng tác dụng).
794,PENTAZOCINE,N02AD01,Thuốc giảm đau Opioid (Chủ vận/Đối kháng hỗn hợp).,Viên nén 50 mg; Thuốc tiêm 30 mg/ml.,Talwin,Suy hô hấp cấp; Bệnh nhân đang dùng Opioid mạnh (có thể gây hội chứng cai).,"Rượu, Benzodiazepine (tăng ức chế hô hấp); Thuốc ức chế MAO."
795,PENTOXIFYLLINE,C04AD03,Thuốc tăng tuần hoàn máu.,Viên nén 400 mg.,"Trental, Pentox",Xuất huyết não/võng mạc; Nhồi máu cơ tim cấp.,"Warfarin, Thuốc chống kết tập tiểu cầu (tăng nguy cơ chảy máu); Thuốc hạ huyết áp."
796,PERINDOPRIL,C09AA04,Thuốc ức chế men chuyển (ACEI).,"Viên nén 2 mg, 4 mg, 8 mg.","Coversyl, Perin",Có thai (3 tháng giữa và cuối); Tiền sử phù mạch do ACEI; Hẹp động mạch thận hai bên.,"Thuốc lợi tiểu giữ Kali, Kali bổ sung (tăng nguy cơ tăng Kali máu); NSAIDs; Lithium."
797,PHENYLEPHRINE,R01AA04,Thuốc cường giao cảm; Co mạch.,"Thuốc tiêm 10 mg/ml; Thuốc nhỏ mũi, mắt.","Neo-Synephrine, Phenyle",Tăng huyết áp nặng; Cường giáp nặng; Đang dùng thuốc ức chế MAO.,Thuốc ức chế MAO (nguy cơ cơn tăng huyết áp nghiêm trọng); Thuốc chẹn beta; Thuốc mê dạng hít.
798,PHENYTOIN,N03AB02,Thuốc chống động kinh.,"Viên nén 50 mg, 100 mg; Thuốc tiêm 50 mg/ml.","Dilantin, Pheny","Nhịp chậm xoang, Block tim độ 2/3 (dạng tiêm); Quá mẫn.","Rất nhiều tương tác do cảm ứng enzym (giảm nồng độ Warfarin, Thuốc tránh thai, Digoxin, Thuốc Statin); Amiodarone, Azole (tăng nồng độ Phenytoin)."
799,PIOGLITAZONE,A10BG03,Thuốc chống đái tháo đường (Thiazolidinedione).,"Viên nén 15 mg, 30 mg, 45 mg.","Actos, Pio",Suy tim sung huyết NYHA độ III-IV; Bệnh gan hoạt động; Ung thư bàng quang.,"Insulin (tăng nguy cơ suy tim, phù); Gemfibrozil (tăng nồng độ Pioglitazone)."
800,PIPERACILLIN/TAZOBACTAM (Phối hợp),J01CR05,Kháng sinh Penicillin phổ rộng (có ức chế Beta-Lactamase),Bột pha tiêm (Nhiều hàm lượng phối hợp).,"Tazocin, Piper","Quá mẫn với Penicillin, Cephalosporin, Ức chế Beta-Lactamase.",Probenecid (tăng nồng độ); Aminoglycosid (giảm hoạt tính nếu trộn lẫn); Thuốc chống đông máu.
801,PIROXICAM,M01AC01,Thuốc chống viêm không steroid (NSAID).,"Viên nang 10 mg, 20 mg; Gel bôi.","Feldene, Piro",Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; 3 tháng cuối thai kỳ.,"Warfarin (tăng nguy cơ chảy máu); Methotrexate, Lithium, Thuốc lợi tiểu, ACEI/ARB."
802,POLYMYXIN B,J01XB02,Kháng sinh nhóm Polypeptide.,Bột pha tiêm 500.000 IU; Thuốc nhỏ mắt/tai.,Polymyxin B,Quá mẫn; Dùng đồng thời với thuốc ức chế thần kinh cơ (dạng tiêm).,Aminoglycosid (tăng độc tính thận); Thuốc giãn cơ không khử cực.
803,POTASSIUM CHLORIDE (KCL),A12BA01,Chất bổ sung Kali.,Viên nén 600 mg; Dung dịch tiêm truyền.,"K-Dur, Kali Clorid",Tăng Kali máu; Suy thận nặng; Bệnh Addison không được điều trị; Tắc nghẽn đường tiêu hóa.,"Thuốc lợi tiểu giữ Kali, ACEI/ARB, Thuốc đối kháng thụ thể Angiotensin II (tăng nguy cơ tăng Kali máu)."
804,POVIDONE-IODINE,D08AG02,"Thuốc sát trùng, Khử khuẩn.",Dung dịch 10%.,"Betadine, Povidine",Dị ứng với Iod; Rối loạn chức năng tuyến giáp.,Chất khử trùng chứa Thủy ngân (tạo phức hợp có hại).
805,PRAMIPEXOLE,N04BC05,Thuốc điều trị Parkinson (Đồng vận Dopamine),"Viên nén 0.125 mg, 0.25 mg, 1 mg.","Mirapex, Sifrol",Quá mẫn.,"Cimetidine (giảm thải trừ); Thuốc an thần, Rượu."
806,PRAZOSIN,C02CA01,Thuốc hạ huyết áp (Chẹn Alpha-1).,"Viên nén 1 mg, 2 mg, 5 mg.",Minipress,Quá mẫn.,Thuốc hạ huyết áp khác (tăng nguy cơ hạ huyết áp quá mức); Thuốc ức chế PDE5.
807,PREDNISOLONE,H02AB06,Corticosteroid.,Viên nén 5 mg; Thuốc tiêm (Nhiều dạng).,"Predni, Delta",Nhiễm nấm/virus/lao toàn thân chưa kiểm soát; Đang dùng vắc xin sống.,"Rifampicin, Phenytoin (giảm nồng độ); Thuốc lợi tiểu quai, NSAIDs, Digoxin."
808,PREGABALIN,N03AX16,"Thuốc chống động kinh, Giảm đau thần kinh.","Viên nang 25 mg, 75 mg, 150 mg.","Lyrica, Prega",Quá mẫn.,"Rượu, Benzodiazepine, Thuốc ức chế TKTW (tăng an thần); ACEI (nguy cơ phù mạch)."
809,PROCAINAMIDE,C01BA02,Thuốc chống loạn nhịp nhóm IA.,"Viên nén 250 mg, 500 mg; Thuốc tiêm 100 mg/ml.",Pronestyl,Block tim độ 2/3; Lupus ban đỏ hệ thống.,Thuốc kéo dài khoảng QT khác; Amiodarone; Cimetidine.
810,PROCAINE PENICILLIN,J01CE08,Kháng sinh Penicillin (Dạng tiêm tác dụng kéo dài).,Bột pha tiêm 3.000.000 IU.,Procain Pen,"Quá mẫn với Penicillin, Procaine; Tiêm tĩnh mạch (nguy cơ độc tính TKTW).",Probenecid (tăng nồng độ); Thuốc chống đông máu.
811,PROCARBAZINE,L01XB01,Thuốc chống ung thư (Ức chế MAO yếu).,Viên nang 50 mg.,Matulane,Suy tủy nặng; Đang dùng thuốc ức chế MAO khác; Rượu.,"Thuốc ức chế MAO (nguy cơ cơn tăng huyết áp); Rượu, Thuốc ức chế TKTW (tăng an thần)."
