inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
THEOPHYLLINE,Thuốc giãn phế quản (Xanthine).,"['Theodur', 'Theo']","['Viên nén 100 mg', 'Viên nén 200 mg (Phóng thích chậm)']",theophylline,r03da04,thuoc gian phe quan (xanthine).,"['vien nen 100mg', 'vien nen 200mg (phong thich cham)']","['theodur', 'theo']","['100mg', 'gian', 'vien', 'cham', 'thich', 'theo', 'xanthine', 'thuoc', 'theophylline', 'quan', '200mg', 'r03da04', 'theodur', 'phong', 'nen', 'phe']",[],"{""oral""}",False,,[],Loét dạ dày tiến triển; Động kinh không kiểm soát.,"{""respiratory""}"
THIOTHIXENE,Thuốc chống loạn thần (Thioxanthene).,['Navane'],"['Viên nang 1 mg', 'Viên nang 2 mg', 'Viên nang 5 mg', 'Viên nang 10 mg']",thiothixene,n05ae01,thuoc chong loan than (thioxanthene).,"['vien nang 1mg', 'vien nang 2mg', 'vien nang 5mg', 'vien nang 10mg']",['navane'],"['10mg', 'vien', 'than', 'loan', 'nang', 'thuoc', 'thioxanthene', '5mg', 'thiothixene', '1mg', 'chong', 'navane', 'n05ae01', '2mg']",[],"{""oral""}",False,,['hepatic_toxic'],Hôn mê; Suy tủy nặng; Tổn thương gan nặng.,"{""psychiatry""}"
TINIDAZOLE,Thuốc chống ký sinh trùng.,"['Tindamax', 'Tinid']",['Viên nén 500 mg'],tinidazole,p01ab02,thuoc chong ky sinh trung.,['vien nen 500mg'],"['tindamax', 'tinid']","['p01ab02', 'vien', 'sinh', 'thuoc', 'tinidazole', 'tindamax', 'trung', 'tinid', 'chong', 'ky', 'nen', '500mg']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Rối loạn máu; Rối loạn thần kinh trung ương; 3 tháng đầu thai kỳ.,{}
TIOPRONIN,Thuốc giải độc (Điều trị Sỏi bàng quang Cystine).,['Tiopronin'],['Viên nén 100 mg'],tiopronin,v03ae02,thuoc giai doc (dieu tri soi bang quang cystine).,['vien nen 100mg'],['tiopronin'],"['nen', '100mg', 'vien', 'doc', 'tiopronin', 'dieu', 'quang', 'thuoc', 'giai', 'soi', 'cystine', 'tri', 'bang', 'v03ae02']",[],"{""oral""}",False,,[],Quá mẫn.,{}
TIZANIDINE,Thuốc giãn cơ.,"['Zanaflex', 'Tizan']","['Viên nén 2 mg', 'Viên nén 4 mg']",tizanidine,m03bx02,thuoc gian co.,"['vien nen 2mg', 'vien nen 4mg']","['zanaflex', 'tizan']","['gian', 'vien', 'tizanidine', 'm03bx02', 'co', 'zanaflex', 'thuoc', '4mg', 'nen', 'tizan', '2mg']",[],"{""oral""}",False,,[],"Đang dùng thuốc ức chế CYP1A2 mạnh (Ciprofloxacin, Fluvoxamine); Quá mẫn.","{""neurology""}"
TOLAZAMIDE,Thuốc chống đái tháo đường nhóm Sulfonylure.,['Tolinase'],"['Viên nén 100 mg', 'Viên nén 250 mg']",tolazamide,a10bb03,thuoc chong dai thao duong nhom sulfonylure.,"['vien nen 100mg', 'vien nen 250mg']",['tolinase'],"['nen', '100mg', 'vien', 'nhom', 'tolinase', 'a10bb03', 'sulfonylure', '250mg', 'dai', 'thuoc', 'chong', 'thao', 'duong', 'tolazamide']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Nhiễm toan ceton; Suy gan/thận nặng; Quá mẫn.,"{""endocrinology""}"
TOLBUTAMIDE,Thuốc chống đái tháo đường nhóm Sulfonylure.,['Orinase'],['Viên nén 500 mg'],tolbutamide,a10bb02,thuoc chong dai thao duong nhom sulfonylure.,['vien nen 500mg'],['orinase'],"['nen', 'vien', 'nhom', 'a10bb02', 'sulfonylure', 'orinase', 'tolbutamide', 'dai', 'thuoc', 'chong', 'thao', 'duong', '500mg']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Nhiễm toan ceton; Suy gan/thận nặng; Quá mẫn.,"{""endocrinology""}"
TRAMADOL,Thuốc giảm đau Opioid.,"['Ultram', 'Tramal']","['Viên nén 50 mg', 'Thuốc tiêm 50 mg/ml']",tramadol,n02ax02,thuoc giam dau opioid.,"['vien nen 50mg', 'thuoc tiem 50mg/ml']","['ultram', 'tramal']","['opioid', 'vien', 'tramal', 'dau', 'tramadol', 'ultram', 'thuoc', '50mg/ml', 'n02ax02', 'tiem', 'nen', 'giam', '50mg']",[],"{""oral"",""injection""}",False,,[],Suy hô hấp cấp; Nhiễm độc cấp Rượu/Thuốc ức chế TKTW; Đang dùng thuốc ức chế MAO.,"{""pain""}"
TRAZODONE,Thuốc chống trầm cảm.,"['Desyrel', 'Traz']","['Viên nén 50 mg', 'Viên nén 100 mg']",trazodone,n06ax05,thuoc chong tram cam.,"['vien nen 50mg', 'vien nen 100mg']","['desyrel', 'traz']","['trazodone', 'n06ax05', 'vien', '100mg', 'desyrel', 'cam', 'tram', 'thuoc', 'chong', 'traz', 'nen', '50mg']",[],"{""oral""}",False,,[],Giai đoạn phục hồi sau nhồi máu cơ tim; Đang dùng thuốc ức chế MAO.,"{""psychiatry""}"
TRIAMTERENE,Thuốc lợi tiểu giữ Kali.,['Dyrenium'],"['Viên nang 50 mg', 'Viên nang 100 mg']",triamterene,c03db01,thuoc loi tieu giu kali.,"['vien nang 50mg', 'vien nang 100mg']",['dyrenium'],"['100mg', 'vien', 'loi', 'nang', 'giu', 'c03db01', 'thuoc', 'kali', 'tieu', 'triamterene', '50mg', 'dyrenium']",[],"{""oral""}",False,,['renal_adjust'],Suy thận cấp; Tăng Kali máu; Vô niệu.,"{""cardiology""}"
TRICLABENDAZOLE,Thuốc trị sán lá.,['Egaten'],['Viên nén 250 mg'],triclabendazole,p02bx06,thuoc tri san la.,['vien nen 250mg'],['egaten'],"['vien', 'la', 'egaten', 'san', 'p02bx06', '250mg', 'thuoc', 'triclabendazole', 'tri', 'nen']",[],"{""oral""}",False,,[],Quá mẫn.,{}
TRIFLUOPERAZINE,Thuốc chống loạn thần (Phenothiazine).,['Stelazine'],"['Viên nén 1 mg', 'Viên nén 2 mg', 'Viên nén 5 mg']",trifluoperazine,n05ab06,thuoc chong loan than (phenothiazine).,"['vien nen 1mg', 'vien nen 2mg', 'vien nen 5mg']",['stelazine'],"['n05ab06', 'than', 'vien', 'loan', 'stelazine', 'phenothiazine', 'thuoc', '5mg', '1mg', 'chong', 'trifluoperazine', 'nen', '2mg']",[],"{""oral""}",False,,['hepatic_toxic'],Hôn mê; Suy tủy nặng; Tổn thương gan nặng.,"{""psychiatry""}"
TRIHEXYPHENIDYL (BENZHEXOL),Thuốc điều trị Parkinson (Kháng cholinergic).,"['Artane', 'Benzhexol']","['Viên nén 2 mg', 'Viên nén 5 mg']",trihexyphenidyl (benzhexol),n04aa01,thuoc dieu tri parkinson (khang cholinergic).,"['vien nen 2mg', 'vien nen 5mg']","['artane', 'benzhexol']","['nen', 'vien', 'dieu', 'trihexyphenidyl', 'thuoc', 'cholinergic', '5mg', '2mg', 'benzhexol', 'n04aa01', 'artane', 'tri', 'parkinson', 'khang']",[],"{""oral""}",False,,[],Glôcôm góc đóng; Tắc nghẽn đường tiểu; Tắc ruột.,"{""neurology""}"
TRIMETHOPRIM,Kháng sinh.,['Trimpex'],"['Viên nén 100 mg', 'Viên nén 200 mg']",trimethoprim,j01ea01,khang sinh.,"['vien nen 100mg', 'vien nen 200mg']",['trimpex'],"['100mg', 'vien', 'sinh', 'trimpex', '200mg', 'trimethoprim', 'nen', 'j01ea01', 'khang']",[],"{""oral""}",False,,['renal_adjust'],Thiếu Acid Folic; Suy thận nặng; Quá mẫn.,"{""infectious""}"
TRIPROLIDINE,Thuốc kháng Histamin H1 thế hệ 1.,['Actidil'],"['Viên nén 2.5 mg', 'Xi rô']",triprolidine,r06aa01,thuoc khang histamin h1 the he 1.,"['vien nen 2.5mg', 'xi ro']",['actidil'],"['histamin', 'he', 'vien', 'ro', 'triprolidine', 'actidil', 'thuoc', 'xi', 'the', 'h1', '25mg', 'nen', 'r06aa01', '1', 'khang']",[],"{""oral""}",False,,[],Glôcôm góc đóng; Tắc nghẽn đường tiểu; Trẻ sơ sinh.,"{""allergy""}"
VALPROIC ACID (DẠNG TIÊM),Thuốc chống động kinh.,['Depacon'],['Thuốc tiêm 100 mg/ml'],valproic acid (dang tiem),n03ag01,thuoc chong dong kinh.,['thuoc tiem 100mg/ml'],['depacon'],"['valproic', 'dang', 'acid', 'thuoc', 'depacon', 'chong', 'kinh', 'dong', '100mg/ml', 'tiem', 'n03ag01']",[],"{""injection""}",False,,['hepatic_toxic'],Bệnh gan nặng; Rối loạn chuyển hóa chu trình Urê; Rối loạn ty thể; Có thai.,"{""neurology""}"
VERAPAMIL (TIÊM),Thuốc chẹn kênh canxi; Chống loạn nhịp.,['Isoptin'],"['Thuốc tiêm 2', 'Thuốc tiêm 5 mg/ml']",verapamil (tiem),c08da01,thuoc chen kenh canxi; chong loan nhip.,"['thuoc tiem 2', 'thuoc tiem 5mg/ml']",['isoptin'],"['nhip', 'c08da01', 'loan', 'verapamil', '5mg/ml', 'kenh', '2', 'thuoc', 'canxi', 'chong', 'tiem', 'chen', 'isoptin']",[],"{""injection""}",False,,[],Suy tim nặng; Block nhĩ thất độ 2/3; Hội chứng nút xoang bệnh lý; Rung nhĩ/cuồng nhĩ kèm hội chứng Wolff-Parkinson-White.,"{""cardiology""}"
VINBLASTINE,Thuốc chống ung thư (Vinca alkaloid).,['Velban'],['Bột pha tiêm 10 mg'],vinblastine,l01ca01,thuoc chong ung thu (vinca alkaloid).,['bot pha tiem 10mg'],['velban'],"['10mg', 'bot', 'pha', 'thu', 'vinca', 'thuoc', 'vinblastine', 'alkaloid', 'velban', 'chong', 'l01ca01', 'tiem', 'ung']",[],"{""injection""}",False,,[],Giảm bạch cầu trung tính nặng; Nhiễm khuẩn nặng.,"{""oncology""}"
VINCRISTINE,Thuốc chống ung thư (Vinca alkaloid).,"['Oncovin', 'Vincasar']","['Bột pha tiêm 1 mg', 'Bột pha tiêm 2 mg']",vincristine,l01ca02,thuoc chong ung thu (vinca alkaloid).,"['bot pha tiem 1mg', 'bot pha tiem 2mg']","['oncovin', 'vincasar']","['l01ca02', 'bot', 'pha', 'thu', 'vincristine', 'vinca', 'thuoc', 'oncovin', 'alkaloid', '1mg', 'chong', 'vincasar', 'tiem', 'ung', '2mg']",[],"{""injection""}",False,,['hepatic_toxic'],Giảm bạch cầu trung tính nặng; Đang xạ trị qua gan; Dùng đường tủy sống (gây tử vong).,"{""oncology""}"
VINORELBINE,Thuốc chống ung thư (Vinca alkaloid),['Navelbine'],['Thuốc tiêm 10 mg/ml'],vinorelbine,l01ca04,thuoc chong ung thu (vinca alkaloid),['thuoc tiem 10mg/ml'],['navelbine'],"['10mg/ml', 'vinorelbine', 'thu', 'vinca', 'thuoc', 'alkaloid', 'chong', 'navelbine', 'tiem', 'l01ca04', 'ung']",[],"{""injection""}",False,,[],Giảm bạch cầu trung tính nặng; Nhiễm khuẩn nặng.,"{""oncology""}"
VITAMIN A (RETINOL),Vitamin tan trong dầu,['Arovit'],"['Viên nang 5000 IU', 'Viên nang 10000 IU']",vitamin a (retinol),a11ca01,vitamin tan trong dau,"['vien nang 5000 iu', 'vien nang 10000 iu']",['arovit'],"['arovit', 'retinol', 'vien', 'a11ca01', 'nang', 'dau', 'tan', 'a', '5000', 'trong', '10000', 'vitamin', 'iu']",[],"{""oral""}",False,,[],Tăng Vitamin A máu.,{}
VITAMIN D (CALCIFEROL),Vitamin tan trong dầu,['Calci D'],"['Viên nén 400 IU', 'Viên nén 1000 IU']",vitamin d (calciferol),a11cc05,vitamin tan trong dau,"['vien nen 400 iu', 'vien nen 1000 iu']",['calci d'],"['calci', 'vien', 'd', '1000', 'iu', 'dau', 'tan', 'a11cc05', 'trong', 'calciferol', 'nen', 'vitamin', '400']",[],"{""oral""}",False,,['renal_adjust'],Tăng Calci máu; Sỏi thận.,{}
VITAMIN E (TOCOPHEROL),Vitamin tan trong dầu,['E-Cap'],"['Viên nang 100 IU', 'Viên nang 400 IU']",vitamin e (tocopherol),a11ha03,vitamin tan trong dau,"['vien nang 100 iu', 'vien nang 400 iu']",['e-cap'],"['vien', 'e', 'nang', 'a11ha03', 'dau', 'tan', 'ecap', 'trong', '100', '400', 'tocopherol', 'vitamin', 'iu']",[],"{""oral""}",False,,[],Không có chống chỉ định tuyệt đối.,{}
VITAMIN K (PHYTONADIONE),Vitamin; Cầm máu.,['Konakion'],"['Viên nén 5 mg', 'Thuốc tiêm 10 mg/ml']",vitamin k (phytonadione),b02ba01,vitamin; cam mau.,"['vien nen 5mg', 'thuoc tiem 10mg/ml']",['konakion'],"['phytonadione', 'vien', '10mg/ml', 'cam', 'konakion', '5mg', 'k', 'thuoc', 'mau', 'tiem', 'b02ba01', 'nen', 'vitamin']",[],"{""oral"",""injection""}",False,,[],Quá mẫn; Thiếu G6PD (dạng tiêm).,"{""hematology""}"
VORICONAZOLE,Thuốc chống nấm nhóm Azole,['Vfend'],"['Viên nén 50 mg', 'Viên nén 200 mg', 'Bột pha tiêm 200 mg']",voriconazole,j02ac03,thuoc chong nam nhom azole,"['vien nen 50mg', 'vien nen 200mg', 'bot pha tiem 200mg']",['vfend'],"['vfend', 'vien', 'nhom', 'azole', 'bot', 'pha', 'j02ac03', 'thuoc', '200mg', 'tiem', 'chong', 'voriconazole', 'nam', 'nen', '50mg']",[],"{""oral"",""injection""}",False,,[],"Dùng đồng thời với Quinidine, Terfenadine, Cisapride; Thuốc cảm ứng CYP450 mạnh.","{""infectious""}"
ZALEPLON,Thuốc ngủ (Non-Benzodiazepine),['Sonata'],"['Viên nang 5 mg', 'Viên nang 10 mg']",zaleplon,n05cf03,thuoc ngu (non-benzodiazepine),"['vien nang 5mg', 'vien nang 10mg']",['sonata'],"['10mg', 'vien', 'sonata', 'nang', 'zaleplon', 'n05cf03', 'thuoc', '5mg', 'ngu', 'nonbenzodiazepine']",[],"{""oral""}",False,,['hepatic_toxic'],Suy hô hấp nặng; Ngưng thở khi ngủ; Suy gan nặng.,"{""psychiatry""}"
ZIDOVUDINE/LAMIVUDINE (Phối hợp),Thuốc kháng virus (NRTI phối hợp),['Combivir'],['Viên nén 300 mg/150 mg'],zidovudine/lamivudine (phoi hop),j05af30,thuoc khang virus (nrti phoi hop),['vien nen 300mg/150mg'],['combivir'],"['vien', 'nrti', 'thuoc', 'combivir', 'j05af30', 'virus', 'nen', '300mg/150mg', 'zidovudine/lamivudine', 'phoi', 'hop', 'khang']",[],"{""oral""}",False,,[],Quá mẫn; Suy tủy nặng.,"{""infectious""}"
ZOLPIDEM,Thuốc ngủ (Non-Benzodiazepine),"['Stilnox', 'Ambien']","['Viên nén 5 mg', 'Viên nén 10 mg']",zolpidem,n05cf02,thuoc ngu (non-benzodiazepine),"['vien nen 5mg', 'vien nen 10mg']","['stilnox', 'ambien']","['nen', '10mg', 'vien', 'ambien', 'zolpidem', 'n05cf02', 'thuoc', '5mg', 'stilnox', 'ngu', 'nonbenzodiazepine']",[],"{""oral""}",False,,['hepatic_toxic'],Suy hô hấp nặng; Ngưng thở khi ngủ; Suy gan nặng.,"{""psychiatry""}"
ZUCLOPENTHIXOL,Thuốc chống loạn thần (Thioxanthene),['Clopixol'],"['Viên nén 10 mg', 'Viên nén 25 mg', 'Thuốc tiêm']",zuclopenthixol,n05af05,thuoc chong loan than (thioxanthene),"['vien nen 10mg', 'vien nen 25mg', 'thuoc tiem']",['clopixol'],"['10mg', 'vien', 'than', 'clopixol', 'loan', 'n05af05', 'thuoc', 'thioxanthene', 'chong', 'tiem', '25mg', 'nen', 'zuclopenthixol']",[],"{""oral"",""injection""}",False,,[],Hôn mê; Suy tủy nặng; Tổn thương não dưới vỏ.,"{""psychiatry""}"
ABACAVIR,Thuốc kháng virus (NRTI),['Ziagen'],"['Viên nén 300 mg', 'Dung dịch uống 20 mg/ml']",abacavir,j05af06,thuoc khang virus (nrti),"['vien nen 300mg', 'dung dich uong 20mg/ml']",['ziagen'],"['abacavir', 'vien', 'nrti', 'j05af06', 'dung', 'thuoc', 'dich', 'uong', '20mg/ml', 'virus', 'nen', 'ziagen', 'khang', '300mg']",[],"{""oral""}",False,,[],Quá mẫn (nguy cơ phản ứng quá mẫn nghiêm trọng HLA-B*5701).,"{""infectious""}"
ACETAMINOPHEN (PARACETAMOL),"Thuốc giảm đau, hạ sốt.","['Panadol', 'Efferalgan']","['Viên nén 500 mg', 'Thuốc tiêm truyền 10 mg/ml']",acetaminophen (paracetamol),n02be01,"thuoc giam dau, ha sot.","['vien nen 500mg', 'thuoc tiem truyen 10mg/ml']","['panadol', 'efferalgan']","['10mg/ml', 'vien', 'paracetamol', '500mg', 'dau', 'truyen', 'thuoc', 'panadol', 'acetaminophen', 'sot', 'tiem', 'nen', 'giam', 'ha', 'efferalgan', 'n02be01']",[],"{""oral"",""injection""}",False,,['hepatic_toxic'],Suy gan nặng; Quá mẫn.,"{""pain""}"
ACARBOSE,Thuốc chống đái tháo đường (Ức chế Alpha-Glucosidase),['Glucobay'],"['Viên nén 50 mg', 'Viên nén 100 mg']",acarbose,a10bf01,thuoc chong dai thao duong (uc che alpha-glucosidase),"['vien nen 50mg', 'vien nen 100mg']",['glucobay'],"['che', 'nen', 'vien', 'alphaglucosidase', '100mg', 'dai', 'thuoc', 'glucobay', 'uc', 'chong', 'a10bf01', 'thao', 'duong', 'acarbose', '50mg']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Viêm ruột kết; Tắc ruột; Suy gan/thận nặng.,"{""endocrinology""}"
ACETYLCYSTEINE,Thuốc tiêu nhầy; Giải độc (Paracetamol).,"['Exomuc', 'ACC']","['Viên nén 200 mg', 'Thuốc tiêm truyền 200 mg/ml']",acetylcysteine,r05cb01,thuoc tieu nhay; giai doc (paracetamol).,"['vien nen 200mg', 'thuoc tiem truyen 200mg/ml']","['exomuc', 'acc']","['r05cb01', 'doc', 'vien', 'acc', 'paracetamol', 'truyen', 'thuoc', 'nhay', 'acetylcysteine', 'giai', '200mg', 'tieu', 'tiem', 'nen', 'exomuc', '200mg/ml']",[],"{""oral"",""injection""}",False,2.0,[],Quá mẫn; Trẻ em dưới 2 tuổi (dạng hít).,"{""respiratory""}"
ACTINOMYCIN D (DACTINOMYCIN),Thuốc chống ung thư.,['Cosmegen'],['Bột pha tiêm 0.5 mg'],actinomycin d (dactinomycin),l01db03,thuoc chong ung thu.,['bot pha tiem 0.5mg'],['cosmegen'],"['l01db03', 'd', 'bot', 'actinomycin', 'thu', 'pha', 'thuoc', '05mg', 'dactinomycin', 'cosmegen', 'chong', 'tiem', 'ung']",[],"{""injection""}",False,,[],Suy tủy nặng; Bệnh thủy đậu.,"{""oncology""}"
ADENOSINE,Thuốc chống loạn nhịp.,['Adenoscan'],['Thuốc tiêm 3 mg/ml'],adenosine,c01eb10,thuoc chong loan nhip.,['thuoc tiem 3mg/ml'],['adenoscan'],"['nhip', 'loan', 'c01eb10', '3mg/ml', 'adenoscan', 'thuoc', 'chong', 'tiem', 'adenosine']",[],"{""injection""}",False,,[],Block nhĩ thất độ 2/3; Hội chứng xoang bệnh lý (trừ khi có máy tạo nhịp); Hen phế quản.,"{""cardiology""}"
ALBENDAZOLE,Thuốc trị giun sán.,"['Zentel', 'Albend']","['Viên nén 200 mg', 'Viên nén 400 mg']",albendazole,p02ca03,thuoc tri giun san.,"['vien nen 200mg', 'vien nen 400mg']","['zentel', 'albend']","['vien', 'san', 'albend', 'giun', 'p02ca03', 'thuoc', '200mg', 'albendazole', '400mg', 'tri', 'nen', 'zentel']",[],"{""oral""}",False,,[],Có thai; Quá mẫn.,{}
ALDESLEUKIN (INTERLEUKIN-2),Thuốc điều hòa miễn dịch.,['Proleukin'],['Bột pha tiêm 18 MU'],aldesleukin (interleukin-2),l03ac01,thuoc dieu hoa mien dich.,['bot pha tiem 18 mu'],['proleukin'],"['interleukin2', 'dieu', 'bot', 'pha', 'thuoc', 'hoa', 'dich', '18', 'proleukin', 'tiem', 'mien', 'mu', 'l03ac01', 'aldesleukin']",[],"{""injection""}",False,,['renal_adjust'],Bệnh tim phổi nặng; Rối loạn chức năng thận nặng.,"{""oncology""}"
ALFENTANIL,Thuốc giảm đau Opioid (Thời gian tác dụng ngắn),['Alfenta'],['Thuốc tiêm 0.5 mg/ml'],alfentanil,n01ah02,thuoc giam dau opioid (thoi gian tac dung ngan),['thuoc tiem 0.5mg/ml'],['alfenta'],"['opioid', 'gian', 'thoi', 'ngan', '05mg/ml', 'dau', 'dung', 'thuoc', 'alfentanil', 'n01ah02', 'tiem', 'giam', 'tac', 'alfenta']",[],"{""injection""}",False,,[],Suy hô hấp cấp; Bệnh phổi tắc nghẽn mạn tính (COPD) nặng.,"{""anesthesiology""}"
ALPROSTADIL,Thuốc giãn mạch.,['Prostin VR'],['Thuốc tiêm 500 mcg/ml (Dùng cho ống động mạch)'],alprostadil,c01ae01,thuoc gian mach.,['thuoc tiem 500 mcg/ml (dung cho ong dong mach)'],['prostin vr'],"['prostin', 'gian', 'mcg/ml', '500', 'vr', 'dung', 'alprostadil', 'thuoc', 'ong', 'dong', 'tiem', 'c01ae01', 'mach', 'cho']",[],"{""injection""}",False,,[],Suy tim sung huyết; Hội chứng suy hô hấp cấp (ARDS).,"{""cardiology""}"
AMANTADINE,Thuốc điều trị Parkinson; Kháng virus.,['Symmetrel'],"['Viên nén 100 mg', 'Xi rô 50 mg/5 ml']",amantadine,n04bb01,thuoc dieu tri parkinson; khang virus.,"['vien nen 100mg', 'xi ro 50mg/5ml']",['symmetrel'],"['nen', '100mg', 'amantadine', 'dieu', 'vien', 'ro', 'n04bb01', '50mg/5ml', 'thuoc', 'xi', 'virus', 'tri', 'parkinson', 'symmetrel', 'khang']",[],"{""oral""}",False,,['renal_adjust'],Suy thận nặng; Glôcôm góc đóng; Tiền sử co giật.,"{""neurology""}"
AMIFOSTINE,"Thuốc bảo vệ tế bào (Giảm độc tính hóa trị, xạ trị)",['Ethyol'],['Bột pha tiêm 500 mg'],amifostine,v03ae05,"thuoc bao ve te bao (giam doc tinh hoa tri, xa tri)",['bot pha tiem 500mg'],['ethyol'],"['amifostine', 'doc', 'xa', 'ethyol', '500mg', 'bot', 'pha', 'tinh', 'thuoc', 'bao', 'hoa', 'v03ae05', 'tiem', 've', 'giam', 'te', 'tri']",[],"{""injection""}",False,,[],Hạ huyết áp; Quá mẫn với Aminothiol.,{}
AMILORIDE,Thuốc lợi tiểu giữ Kali.,['Midamor'],['Viên nén 5 mg'],amiloride,c03db01,thuoc loi tieu giu kali.,['vien nen 5mg'],['midamor'],"['vien', 'loi', 'giu', 'c03db01', 'thuoc', '5mg', 'amiloride', 'kali', 'tieu', 'nen', 'midamor']",[],"{""oral""}",False,,['renal_adjust'],Tăng Kali máu; Suy thận nặng; Vô niệu.,"{""cardiology""}"
AMIODARONE,Thuốc chống loạn nhịp nhóm III,['Cordarone'],"['Viên nén 100 mg', 'Viên nén 200 mg', 'Thuốc tiêm 50 mg/ml']",amiodarone,c01bd01,thuoc chong loan nhip nhom iii,"['vien nen 100mg', 'vien nen 200mg', 'thuoc tiem 50mg/ml']",['cordarone'],"['nhip', 'c01bd01', 'iii', 'nhom', 'vien', '100mg', 'loan', 'cordarone', 'thuoc', '200mg', 'chong', '50mg/ml', 'tiem', 'nen', 'amiodarone']",[],"{""oral"",""injection""}",False,,[],Block nhĩ thất độ 2/3; Nhịp chậm xoang nặng; Rối loạn chức năng tuyến giáp; Quá mẫn với Iod.,"{""cardiology""}"
AMITRIPTYLINE/PERPHENAZINE (Phối hợp),Chống trầm cảm/Chống loạn thần.,['Triavil'],['Viên nén (phối hợp 2 thuốc)'],amitriptyline/perphenazine (phoi hop),n06ca01,chong tram cam/chong loan than.,['vien nen (phoi hop 2 thuoc)'],['triavil'],"['vien', 'than', 'cam/chong', 'amitriptyline/perphenazine', 'tram', 'loan', 'triavil', '2', 'thuoc', 'n06ca01', 'chong', 'nen', 'phoi', 'hop']",[],"{""oral""}",False,,[],Đang dùng Thuốc ức chế MAO; Hôn mê; Suy tủy nặng; Giai đoạn phục hồi sau nhồi máu cơ tim.,"{""psychiatry""}"
AMLODIPINE,Thuốc chẹn kênh canxi (Dihydropyridine),"['Norvasc', 'Amlodip']","['Viên nén 5 mg', 'Viên nén 10 mg']",amlodipine,c08ca01,thuoc chen kenh canxi (dihydropyridine),"['vien nen 5mg', 'vien nen 10mg']","['norvasc', 'amlodip']","['c08ca01', 'nen', 'vien', '10mg', 'norvasc', 'amlodip', 'kenh', 'thuoc', '5mg', 'canxi', 'dihydropyridine', 'amlodipine', 'chen']",[],"{""oral""}",False,,[],Sốc tim; Quá mẫn.,"{""cardiology""}"
AMOXICILLIN,Kháng sinh nhóm Penicillin.,"['Amoxil', 'Moxa']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Bột pha hỗn dịch 125 mg/5 ml']",amoxicillin,j01ca04,khang sinh nhom penicillin.,"['vien nen 250mg', 'vien nen 500mg', 'bot pha hon dich 125mg/5ml']","['amoxil', 'moxa']","['vien', 'nhom', 'sinh', 'amoxicillin', 'bot', 'pha', 'amoxil', '250mg', 'hon', 'j01ca04', 'dich', '125mg/5ml', 'moxa', 'penicillin', 'nen', '500mg', 'khang']",[],"{""oral""}",True,,[],"Quá mẫn với Penicillin, Cephalosporin; Tăng bạch cầu đơn nhân nhiễm khuẩn.","{""infectious""}"
AMOXICILLIN/CLAVULANIC ACID (Phối hợp),Kháng sinh nhóm Penicillin (có ức chế Beta-Lactamase),"['Augmentin', 'Curam']","['Viên nén 500 mg/125 mg', 'Viên nén 875 mg/125 mg']",amoxicillin/clavulanic acid (phoi hop),j01cr02,khang sinh nhom penicillin (co uc che beta-lactamase),"['vien nen 500mg/125mg', 'vien nen 875mg/125mg']","['augmentin', 'curam']","['penicillin', 'amoxicillin/clavulanic', 'uc', 'curam', 'vien', 'betalactamase', 'augmentin', 'acid', 'khang', 'che', '875mg/125mg', 'co', 'nen', 'phoi', 'nhom', 'sinh', 'j01cr02', '500mg/125mg', 'hop']",[],"{""oral""}",False,,['hepatic_toxic'],Quá mẫn với Penicillin; Tiền sử rối loạn chức năng gan do Amoxicillin/Clavulanic acid.,"{""infectious""}"
AMPHOTERICIN B,Thuốc chống nấm.,"['Fungizone', 'Ambisome']",['Bột pha tiêm 50 mg (Conventional/Liposomal)'],amphotericin b,j02aa01,thuoc chong nam.,['bot pha tiem 50mg (conventional/liposomal)'],"['fungizone', 'ambisome']","['ambisome', 'j02aa01', 'fungizone', 'conventional/liposomal', 'bot', 'pha', 'thuoc', '50mg', 'chong', 'tiem', 'nam', 'amphotericin', 'b']",[],"{""injection""}",False,,[],Quá mẫn.,"{""infectious""}"
ANASTROZOLE,Thuốc kháng Estrogen (Ức chế Aromatase),['Arimidex'],['Viên nén 1 mg'],anastrozole,l02bg03,thuoc khang estrogen (uc che aromatase),['vien nen 1mg'],['arimidex'],"['che', 'nen', 'vien', 'arimidex', 'aromatase', 'l02bg03', 'estrogen', 'thuoc', 'anastrozole', '1mg', 'uc', 'khang']",[],"{""oral""}",False,,[],"Có thai, cho con bú; Tiền mãn kinh (trừ khi dùng để điều trị).","{""oncology""}"
